,v1clusters,v1recall,v1precision,v1f_score,v2clusters,v2recall,v2precision,v2f_score,Louvain results path,n
649,4,0.3575384615384615,0.9493464052287581,0.5194456861868573,7,0.6325167037861915,0.9281045751633987,0.752317880794702,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2312/2021_2_6_0_8_11\Louvain_2,9
650,4,0.25060827250608275,0.7202797202797203,0.3718411552346571,4,0.27,0.7552447552447552,0.3977900552486188,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4103/2021_2_6_0_8_29\Louvain_2,8
651,4,0.30158730158730157,0.4222222222222222,0.35185185185185186,2,0.1652892561983471,0.4444444444444444,0.24096385542168675,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3247/2021_2_6_0_8_54\Louvain_2,5
652,3,0.7692307692307693,0.5,0.6060606060606061,2,0.4,0.4,0.4000000000000001,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2929/2021_2_6_0_8_56\Louvain_2,2
653,4,0.5666305525460456,0.8716666666666667,0.6868023637557452,4,0.7009345794392523,1.0,0.8241758241758241,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2277/2021_2_6_0_9_33\Louvain_2,5
654,2,1.0,1.0,1.0,2,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3360/2021_2_6_0_9_37\Louvain_2,2
655,5,0.4491017964071856,0.8838383838383839,0.5955757231990925,4,0.10466867469879518,0.468013468013468,0.17107692307692307,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2176/2021_2_6_0_11_22\Louvain_2,9
656,4,0.3215767634854772,0.8201058201058201,0.4619970193740686,7,0.6585365853658537,1.0,0.7941176470588235,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2912/2021_2_6_0_12_0\Louvain_2,9
657,3,0.32684824902723736,0.9581749049429658,0.4874274661508704,10,0.3159340659340659,0.4372623574144487,0.3668261562998405,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4203/2021_2_6_0_12_43\Louvain_2,9
658,4,0.4166666666666667,0.9523809523809523,0.5797101449275361,7,0.9130434782608695,1.0,0.9545454545454545,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1906/2021_2_6_0_12_49\Louvain_2,8
659,3,0.2262396694214876,0.711038961038961,0.3432601880877743,2,0.1346153846153846,0.5909090909090909,0.21927710843373494,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2424/2021_2_6_0_13_29\Louvain_2,9
660,3,0.33678756476683935,0.7065217391304348,0.4561403508771929,6,0.16535433070866143,0.22826086956521738,0.19178082191780824,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1968/2021_2_6_0_13_34\Louvain_2,7
