,v1clusters,v1recall,v1precision,v1f_score,v2clusters,v2recall,v2precision,v2f_score
0,2,0.5454545454545454,1.0,0.7058823529411764,2,0.26229508196721313,0.5333333333333333,0.3516483516483517
1,2,0.25,0.6896551724137931,0.3669724770642202,2,0.2581395348837209,0.7655172413793103,0.3860869565217391
2,2,0.7083333333333334,0.9622641509433962,0.816,2,0.7083333333333334,0.9622641509433962,0.816
3,2,0.3630573248407643,0.75,0.4892703862660944,2,0.2611464968152866,0.5394736842105263,0.351931330472103
4,3,0.30612244897959184,0.6428571428571429,0.4147465437788018,1,0.16091954022988506,1.0,0.2772277227722772
5,4,0.17985611510791366,0.42857142857142855,0.25337837837837834,2,0.1510204081632653,0.6342857142857142,0.24395604395604395
6,3,0.6219895287958115,0.8684210526315791,0.7248322147651006,4,1.0,1.0,1.0
7,3,0.2740619902120718,0.6614173228346457,0.38754325259515576,2,0.12960893854748606,0.4566929133858268,0.2019147084421236
8,3,0.5723270440251572,0.91,0.7027027027027026,2,0.3623188405797101,1.0,0.5319148936170213
9,3,0.5537190082644629,1.0,0.7127659574468085,2,0.3383838383838384,1.0,0.5056603773584906
10,2,0.4725274725274725,1.0,0.6417910447761194,3,0.7413793103448276,1.0,0.8514851485148515
11,2,0.6703296703296703,0.5754716981132075,0.6192893401015228,2,0.7333333333333333,0.6226415094339622,0.6734693877551021
12,3,0.3840579710144928,0.8833333333333333,0.5353535353535354,2,0.25892857142857145,0.8976190476190476,0.40191897654584224
13,3,0.2663605051664753,0.8055555555555556,0.4003451251078516,2,0.125,0.5625,0.20454545454545456
14,3,0.11797752808988765,0.3333333333333333,0.17427385892116182,2,0.1447811447811448,0.6825396825396826,0.2388888888888889
15,2,1.0,1.0,1.0,2,1.0,1.0,1.0
16,2,0.13157894736842105,0.5,0.20833333333333331,2,0.14814814814814814,0.6,0.2376237623762376
17,4,0.3250825082508251,0.7242647058823529,0.44874715261959,2,0.11535337124289195,0.5220588235294118,0.18895542248835664
18,4,0.3818181818181817,0.853125,0.527536231884058,3,0.2839583989914907,0.9385416666666668,0.4360029034599565
19,2,0.40828402366863903,0.8414634146341463,0.5498007968127491,2,0.3668639053254438,0.7560975609756098,0.4940239043824701
20,2,1.0,1.0,1.0,1,0.6111111111111112,1.0,0.7586206896551725
21,2,0.7,1.0,0.8235294117647058,1,0.3111111111111111,1.0,0.4745762711864407
22,3,0.6086956521739131,1.0,0.7567567567567568,3,0.5185185185185185,1.0,0.6829268292682926
23,3,0.24175824175824176,0.5238095238095238,0.3308270676691729,2,0.16464471403812825,0.5654761904761905,0.2550335570469799
24,3,0.4233576642335766,0.7435897435897436,0.5395348837209303,2,0.1995249406175772,0.5384615384615384,0.29116117850953205
25,3,0.13333333333333333,0.5161290322580645,0.21192052980132453,2,0.09302325581395347,0.5161290322580645,0.15763546798029554
26,3,0.2554585152838428,0.7476038338658147,0.3807973962571196,3,0.1725214676034348,0.7060702875399361,0.27728983688833125
27,2,0.51953125,0.9432624113475178,0.6700251889168767,3,0.28921568627450983,0.4184397163120567,0.3420289855072464
28,3,0.5867768595041323,0.8120915032679739,0.6812885538039753,2,0.2299382716049383,0.4869281045751634,0.31236897274633124
29,3,0.4576802507836991,0.8111111111111111,0.5851703406813628,2,0.20164609053497945,0.5444444444444444,0.2942942942942943
